state,declaration_date,incident_type
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
TN,1998-04-20,Severe Storm
AR,1998-04-22,Tornado
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
KY,1998-04-29,Severe Storm
IN,1998-05-08,Severe Storm
IN,1998-05-08,Severe Storm
IN,1998-05-08,Severe Storm
IN,1998-05-08,Severe Storm
IN,1998-05-08,Severe Storm
IN,1998-05-08,Severe Storm
IN,1998-05-08,Severe Storm
IN,1998-05-08,Severe Storm
IN,1998-05-08,Severe Storm
TX,1998-05-11,Fire
TX,1998-05-15,Fire
SD,1998-06-01,Flood
SD,1998-06-01,Flood
SD,1998-06-01,Flood
SD,1998-06-01,Flood
SD,1998-06-01,Flood
SD,1998-06-01,Flood
SD,1998-06-01,Flood
SD,1998-06-01,Flood
SD,1998-06-01,Flood
FL,1998-06-08,Fire
PA,1998-06-08,Severe Storm
PA,1998-06-08,Severe Storm
PA,1998-06-08,Severe Storm
PA,1998-06-08,Severe Storm
PA,1998-06-08,Severe Storm
PA,1998-06-08,Severe Storm
PA,1998-06-08,Severe Storm
KS,1998-06-09,Other
KS,1998-06-09,Other
OR,1998-06-12,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
ND,1998-06-15,Flood
FL,1998-06-16,Fire
NY,1998-06-16,Severe Storm
NY,1998-06-16,Severe Storm
NY,1998-06-16,Severe Storm
NY,1998-06-16,Severe Storm
NY,1998-06-16,Severe Storm
NY,1998-06-16,Severe Storm
FL,1998-06-18,Fire
TX,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-18,Fire
FL,1998-06-19,Fire
FL,1998-06-19,Fire
FL,1998-06-19,Fire
FL,1998-06-19,Fire
TX,1998-06-20,Fire
FL,1998-06-20,Fire
FL,1998-06-20,Fire
FL,1998-06-21,Fire
FL,1998-06-21,Fire
TX,1998-06-23,Fire
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MN,1998-06-23,Tornado
MA,1998-06-23,Flood
MA,1998-06-23,Flood
MA,1998-06-23,Flood
MA,1998-06-23,Flood
MA,1998-06-23,Flood
MA,1998-06-23,Flood
MA,1998-06-23,Flood
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
MI,1998-06-24,Severe Storm
NM,1998-06-26,Fire
FL,1998-06-27,Fire
FL,1998-06-28,Fire
TX,1998-06-29,Fire
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
VT,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
OH,1998-06-30,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
WV,1998-07-01,Severe Storm
NM,1998-07-02,Fire
TX,1998-07-02,Fire
ME,1998-07-02,Severe Storm
ME,1998-07-02,Severe Storm
ME,1998-07-02,Severe Storm
ME,1998-07-02,Severe Storm
ME,1998-07-02,Severe Storm
ME,1998-07-02,Severe Storm
NH,1998-07-02,Severe Storm
NH,1998-07-02,Severe Storm
NH,1998-07-02,Severe Storm
NH,1998-07-02,Severe Storm
NH,1998-07-02,Severe Storm
NH,1998-07-02,Severe Storm
NH,1998-07-02,Severe Storm
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
IA,1998-07-02,Flood
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
NY,1998-07-07,Severe Storm
TX,1998-07-10,Fire
TX,1998-07-12,Fire
TX,1998-07-22,Fire
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
IN,1998-07-22,Severe Storm
TX,1998-07-23,Fire
TX,1998-07-23,Fire
TN,1998-07-23,Severe Storm
TN,1998-07-23,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
WI,1998-07-24,Severe Storm
TX,1998-07-26,Fire
TX,1998-07-26,Fire
WA,1998-07-28,Fire
OK,1998-07-29,Fire
TX,1998-07-30,Fire
TX,1998-07-31,Fire
TX,1998-07-31,Fire
TX,1998-08-01,Fire
TX,1998-08-02,Fire
TX,1998-08-02,Fire
TX,1998-08-03,Fire
TX,1998-08-03,Fire
TX,1998-08-05,Fire
MI,1998-08-05,Severe Storm
MI,1998-08-05,Severe Storm
WI,1998-08-12,Severe Storm
WI,1998-08-12,Severe Storm
WI,1998-08-12,Severe Storm
WI,1998-08-12,Severe Storm
WI,1998-08-12,Severe Storm
HI,1998-08-25,Fire
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
TX,1998-08-26,Severe Storm
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
NC,1998-08-27,Hurricane
TX,1998-09-02,Fire
WA,1998-09-03,Fire
TX,1998-09-04,Fire
TX,1998-09-04,Fire
TX,1998-09-04,Fire
TX,1998-09-04,Fire
SC,1998-09-04,Hurricane
VA,1998-09-04,Hurricane
VA,1998-09-04,Hurricane
VA,1998-09-04,Hurricane
VA,1998-09-04,Hurricane
VA,1998-09-04,Hurricane
FL,1998-09-04,Hurricane
FL,1998-09-04,Hurricane
FL,1998-09-04,Hurricane
FL,1998-09-04,Hurricane
FL,1998-09-04,Hurricane
FL,1998-09-04,Hurricane
TX,1998-09-05,Fire
OK,1998-09-05,Fire
TX,1998-09-08,Fire
OK,1998-09-09,Fire
TX,1998-09-09,Fire
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
NY,1998-09-11,Severe Storm
PR,1998-09-21,Hurricane
VI,1998-09-21,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
LA,1998-09-23,Hurricane
TX,1998-09-23,Severe Storm
TX,1998-09-23,Severe Storm
TX,1998-09-23,Severe Storm
TX,1998-09-23,Severe Storm
TX,1998-09-23,Severe Storm
VI,1998-09-24,Hurricane
VI,1998-09-24,Hurricane
VI,1998-09-24,Hurricane
VI,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
PR,1998-09-24,Hurricane
